,Return,Risk
SAND,1.5264218431375223,1.5029477373121969
SCRT,0.704830894466657,1.2774029604211035
SEI,2.242155702698868,1.3686818873018622
SFP,1.0909141516486933,1.8495815423814908
SKL,1.0041574325950045,1.4963196023636491
SLP,1.4476503383647281,2.3638923386734803
SNT,0.8632229123618346,1.381980372134181
SNX,1.3103486075540158,1.4728657908626008
SOL,2.1428990860626627,1.3559858947480423
SRM,0.3587111049640728,1.6851612611920586
SSV,1.3726097118707392,1.4635681746317313
STMX,1.056030121511905,1.6780762341948559
STPT,0.963786037942762,1.4442293227885925
STRK,-0.001302153567193449,1.1441181798913067
STX,22.972669296532132,46.32712224259737
SUI,10.469756180875073,8.51196429771833
SUN,0.23113792799146418,0.8946269682792197
SUSD,0.041307323454424595,0.31151879134487226
SXP,1.4078978057391496,1.9167391349487384
SYS,0.9835830075261,1.479019981829167
TCT,1.8801701328618543,2.5942796926158245
TKO,0.007941852267510758,1.1605853009608609
TLM,-0.1381666630960573,1.62733996862041
TNSR,-5.015293197157405,1.8923266787476662
TORN,-0.20696000860438032,1.55941407274933
TRB,2.4665628301627067,1.7451542830588247
TROY,0.5901817143390965,1.3391449148851637
TRU,0.44781545237363923,1.4271941135054151
TRX,1.3747844498582378,1.3376651955304424
TUSD,0.001456509067745285,0.08234628623224223
TWT,2.5280961727334113,1.7232105510909408
UFT,1.6302654737131834,2.0207936389287626
UMA,1.2647116074938116,1.4943185570466706
UNFI,2.0627727677765817,2.83607808931359
USDC,0.0016164964624829081,0.06339932964585836
USDP,0.003055494959389758,0.07146629775028167
USTC,0.37851291547405513,1.9195202183247277
UTK,0.9001847266131077,1.5050865318498716
VEN,6.615025752585014,10.438030248963157
VET,0.7978698188060978,1.151693061390145
VGX,1.0437477397198054,1.8044118807204703
VIB,1.0678459915813534,1.653178218826705
VITE,0.783227646302716,1.5675991410113523
VTHO,0.7399372563568223,1.5879610563737345
WAN,0.2867801233857272,1.2353889758473757
WAXP,0.4759675695594433,1.5527705029770797
WBTC,0.7911146724883432,0.6961479621942566
WIF,12.613076032157709,3.3104405604568217
WIN,0.4684769373890649,1.2921836710562653
WLD,143.07954611900783,209.75800927819074
WNXM,1.0890438478753346,1.144726980155219
WOO,1.5701535242383136,1.8451358415680608
WRX,1.158391254339977,1.5769180160735141
WTC,0.6908025381725047,2.3007138216384706
XAI,0.7179880382323599,1.4269037239695959
XEC,0.9824366555897157,1.3360941816070597
XEM,0.46802644124883636,1.3199302924931653
XLM,0.754853582002309,1.1397674631334824
XMR,0.4864397647791604,0.958040754109315
XNO,1.3422522536154502,1.5259730797880267
XRP,0.7931445935744166,1.2023669810234838
XTZ,0.6395796857832952,1.2215097201836633
XVG,1.1172841845989783,1.6180330968694636
XVS,1.4506434118610143,1.5882318962900086
YFI,1.3825662692483298,1.4047075245763934
YFII,1.8634871926403038,2.2968300003465387
YGG,1.0473364635154805,1.6558133828656467
ZEC,0.19756821680769363,1.0690742429010722
ZEN,0.5699833285072639,1.233614443388887
ZIL,0.5349939059333683,1.316623563802088
ZRX,0.9062465108963945,1.287991074571726
